,condition,bin,type,subject,itemnum,cloze,constraint,contrast_unexpected,accuracy,w1,w2,region,amplitude
80,HC.AN.CL,1,1,6,273,0,1,0,1,一肚子,桌子,anterior,-4.006395666666667
81,LC.AN.CL,2,1,6,663,0,0,0,1,一年,食物,anterior,5.143867
82,HC.UNEXP.CL,4,1,6,89,1,1,-1,0,一桌,人,anterior,8.710956999999999
83,LC.UNEXP.CL,5,1,6,350,1,0,-2,1,一颗,珍珠,anterior,1.2533673333333335
84,LC.UNEXP.VB,10,0,6,415,1,0,-2,1,发生,悲剧,anterior,1.0790543166666666
85,HC.EXP.VB,8,0,6,416,2,1,0,1,筹措,资金,anterior,-7.9346663333333325
86,HC.AN.CL,1,1,6,409,0,1,0,1,一对,食物,anterior,8.680652333333333
87,HC.UNEXP.CL,4,1,6,397,1,1,-1,1,一首,词,anterior,7.077611666666667
88,LC.UNEXP.CL,5,1,6,687,1,0,-2,1,一层层,台阶,anterior,16.583846666666666
89,HC.UNEXP.CL,4,1,6,413,1,1,-1,1,一家,酒店,anterior,9.960168666666666
90,LC.AN.VB,7,0,6,117,0,0,0,1,欺负,卧室,anterior,2.8107326666666665
91,LC.AN.CL,2,1,6,295,0,0,0,1,一手,飞机,anterior,4.150162333333333
92,HC.UNEXP.VB,9,0,6,745,1,1,-1,1,造福,国家,anterior,3.267880133333333
93,HC.AN.VB,6,0,6,116,0,1,0,1,搁置,春水,anterior,-3.8360183333333335
94,HC.EXP.CL,3,1,6,344,2,1,0,1,一瓶,水,anterior,3.227605333333333
95,HC.EXP.CL,3,1,6,85,2,1,0,1,一首,歌,anterior,4.810870199999999
96,HC.EXP.CL,3,1,6,628,2,1,0,1,一节,课,anterior,5.8788116666666665
97,LC.AN.VB,7,0,6,410,0,0,0,1,继承,水流,anterior,4.570580666666667
98,HC.UNEXP.CL,4,1,6,299,1,1,-1,1,一席,演讲,anterior,3.847678
99,HC.AN.VB,6,0,6,283,0,1,0,1,服,新闻,anterior,-3.924773666666667
100,HC.UNEXP.CL,4,1,6,345,1,1,-1,1,一代代,祖先,anterior,-1.1809476666666665
101,HC.EXP.CL,3,1,6,534,2,1,0,1,一件,衣服,anterior,12.463562000000001
102,LC.UNEXP.VB,10,0,6,662,1,0,-2,0,影响,出口,anterior,-8.907626
103,LC.AN.VB,7,0,6,731,0,0,0,1,实现,乐曲,anterior,25.950737666666665
104,LC.UNEXP.CL,5,1,6,627,1,0,-2,1,一门,语言,anterior,9.051677
105,HC.AN.CL,1,1,6,98,0,1,0,1,一盘,手机,anterior,-1.3050716666666664
106,LC.UNEXP.VB,10,0,6,391,1,0,-2,1,表示,中立,anterior,-0.7634359333333339
107,HC.AN.CL,1,1,6,94,0,1,0,1,一帖,大海,anterior,13.999466666666669
108,HC.AN.VB,6,0,6,101,0,1,0,1,管制,桌子,anterior,2.4553183333333335
109,HC.AN.VB,6,0,6,620,0,1,0,0,拉动,手机,anterior,6.944607333333333
110,LC.UNEXP.CL,5,1,6,615,1,0,-2,1,一把,火,anterior,18.565884333333333
111,HC.AN.VB,6,0,6,342,0,1,0,1,虐待,电影,anterior,2.785227666666666
112,HC.UNEXP.VB,9,0,6,240,1,1,-1,1,汇报,信息,anterior,4.747571333333334
113,HC.EXP.CL,3,1,6,285,2,1,0,1,一线,生机,anterior,13.55372
114,HC.AN.VB,6,0,6,669,0,1,0,1,开创,粟,anterior,-6.691364333333333
115,LC.AN.CL,2,1,6,675,0,0,0,1,一身,火车,anterior,7.131823333333333
116,LC.UNEXP.VB,10,0,6,217,1,0,-2,1,动摇,基础,anterior,5.7970877
117,HC.UNEXP.CL,4,1,6,411,1,1,-1,1,一餐,水果,anterior,-7.606778333333334
118,LC.UNEXP.CL,5,1,6,739,1,0,-2,1,一包,面粉,anterior,-2.529444
119,HC.UNEXP.VB,9,0,6,360,1,1,-1,1,推动,研究,anterior,11.338017
120,HC.EXP.CL,3,1,6,63,2,1,0,1,一席,话,anterior,5.843829763333333
121,HC.AN.VB,6,0,6,682,0,1,0,1,补贴,措施,anterior,4.795158666666667
122,LC.UNEXP.CL,5,1,6,119,1,0,-2,1,一口,奶,anterior,10.563962666666667
123,HC.UNEXP.CL,4,1,6,353,1,1,-1,1,一顿,责骂,anterior,2.4767613333333336
124,HC.AN.VB,6,0,6,733,0,1,0,1,穿越,金莲,anterior,7.679455333333333
125,HC.EXP.VB,8,0,6,86,2,1,0,1,名列,前茅,anterior,11.751973466666668
126,LC.AN.CL,2,1,6,274,0,0,0,1,一块,失败,anterior,17.68159
127,LC.UNEXP.VB,10,0,6,347,1,0,-2,1,安排,住宿,anterior,-2.335408466666667
128,HC.EXP.VB,8,0,6,288,2,1,0,1,搬起,石头,anterior,-15.068250333333332
129,LC.UNEXP.CL,5,1,6,239,1,0,-2,0,一岁,庄稼,anterior,0.4392441
130,HC.UNEXP.VB,9,0,6,336,1,1,-1,1,提出,制度,anterior,1.7568579766666668
131,LC.UNEXP.CL,5,1,6,293,1,0,-2,0,一度,角,anterior,0.7323626666666668
132,HC.EXP.VB,8,0,6,621,2,1,0,1,收受,贿赂,anterior,7.547914999999999
133,LC.UNEXP.CL,5,1,6,291,1,0,-2,1,一片,天地,anterior,3.4367993333333335
134,HC.EXP.CL,3,1,6,406,2,1,0,1,一员,大将,anterior,3.8724513333333337
135,HC.AN.VB,6,0,6,294,0,1,0,1,前往,春水,anterior,5.745959
136,LC.AN.VB,7,0,6,102,0,0,0,1,迫于,米,anterior,-5.755550666666667
137,HC.AN.CL,1,1,6,724,0,1,0,1,一回合,政府,anterior,-15.026575
138,HC.UNEXP.VB,9,0,6,110,1,1,-1,1,分散,人群,anterior,-2.9076330000000006
139,HC.AN.CL,1,1,6,730,0,1,0,1,一碗,明月,anterior,-6.968404666666667
140,LC.UNEXP.VB,10,0,6,105,1,0,-2,1,支持,提议,anterior,-1.0854786666666663
141,HC.AN.CL,1,1,6,112,0,1,0,0,一列,杯子,anterior,-0.35977033333333325
142,LC.UNEXP.CL,5,1,6,91,1,0,-2,0,一两,珍珠,anterior,16.05704
143,LC.AN.VB,7,0,6,216,0,0,0,1,统治,尸体,anterior,-0.07346200000000029
144,LC.UNEXP.VB,10,0,6,683,1,0,-2,1,担任,经理,anterior,6.63103927
145,LC.AN.CL,2,1,6,351,0,0,0,1,一处,饭,anterior,7.610835433333333
146,LC.AN.CL,2,1,6,346,0,0,0,1,一组,武艺,anterior,-6.949021666666667
147,HC.EXP.CL,3,1,6,402,2,1,0,1,一类,人,anterior,-1.0090719999999995
148,HC.UNEXP.VB,9,0,6,616,1,1,-1,1,买,药,anterior,11.937903666666665
149,HC.AN.CL,1,1,6,107,0,1,0,1,一缸,金莲,anterior,15.411051666666665
150,LC.AN.VB,7,0,6,71,0,0,0,0,送到,鸡,anterior,-0.3583006666666666
151,HC.UNEXP.CL,4,1,6,603,1,1,-1,0,一瓶,玫瑰,anterior,-0.07151099999999981
152,HC.AN.CL,1,1,6,236,0,1,0,1,一扇,春水,anterior,21.730791666666672
153,HC.UNEXP.VB,9,0,6,747,1,1,-1,1,使用,日语,anterior,15.307446999999998
154,HC.UNEXP.VB,9,0,6,88,1,1,-1,1,报道,案件,anterior,16.6163
155,LC.UNEXP.CL,5,1,6,272,1,0,-2,1,一部,手机,anterior,18.23064666666667
156,LC.AN.VB,7,0,6,535,0,0,0,1,收拾,生日,anterior,4.896947666666667
157,HC.EXP.VB,8,0,6,271,2,1,0,1,赚,钱,anterior,3.6667599
158,HC.EXP.VB,8,0,6,237,2,1,0,1,抓紧,时间,anterior,16.06815633333333
159,HC.UNEXP.VB,9,0,6,394,1,1,-1,1,骗,老师,anterior,14.056596666666664
160,HC.UNEXP.VB,9,0,6,114,1,1,-1,1,震撼,听众,anterior,-7.142953333333334
161,LC.AN.CL,2,1,6,103,0,0,0,1,一项,饭,anterior,1.7080589999999993
162,LC.AN.CL,2,1,6,737,0,0,0,1,一块,香烟,anterior,-2.2037558666666666
163,HC.EXP.CL,3,1,6,80,2,1,0,1,一台,电脑,anterior,5.736042
164,LC.UNEXP.VB,10,0,6,341,1,0,-2,0,越过,领导,anterior,4.786730666666666
165,HC.AN.VB,6,0,6,120,0,1,0,1,发来,杯子,anterior,5.914879
166,HC.EXP.CL,3,1,6,721,2,1,0,1,一顿,饭,anterior,6.931665666666667
167,HC.AN.VB,6,0,6,609,0,1,0,1,伸出,春水,anterior,1.424140666666667
168,HC.AN.VB,6,0,6,211,0,1,0,0,占用,丝带,anterior,-1.9489736666666666
169,LC.AN.VB,7,0,6,90,0,0,0,1,解释,酒店,anterior,4.844119666666667
170,HC.UNEXP.CL,4,1,6,70,1,1,-1,1,一帮,员工,anterior,-11.02053547
171,HC.AN.CL,1,1,6,528,0,1,0,1,一起,山,anterior,-5.232338000000001
172,HC.UNEXP.VB,9,0,6,521,1,1,-1,1,吸取,水分,anterior,-16.037833333333335
173,HC.EXP.VB,8,0,6,624,2,1,0,1,侵吞,财产,anterior,9.67141
174,LC.AN.VB,7,0,6,97,0,0,0,1,牺牲,扣子,anterior,-5.0983320999999995
175,LC.AN.CL,2,1,6,533,0,0,0,1,一声,土地,anterior,4.701481433333332
176,HC.UNEXP.VB,9,0,6,95,1,1,-1,1,运送,枪支,anterior,-8.369506666666668
177,HC.UNEXP.VB,9,0,6,678,1,1,-1,1,封锁,地区,anterior,-4.484189066666667
178,HC.EXP.VB,8,0,6,78,2,1,0,1,赚到,钱,anterior,-2.9273975599999997
179,HC.EXP.VB,8,0,6,349,2,1,0,1,深化,改革,anterior,-5.249914566666667
180,HC.EXP.VB,8,0,6,66,2,1,0,1,贴近,生活,anterior,5.479399333333333
181,HC.EXP.VB,8,0,6,87,2,1,0,1,振奋,人心,anterior,-2.9188783333333337
182,LC.AN.VB,7,0,6,109,0,0,0,1,突出,线,anterior,13.922596666666664
183,HC.AN.VB,6,0,6,612,0,1,0,1,发表,政府,anterior,13.013024999999999
184,HC.EXP.VB,8,0,6,83,2,1,0,1,达到,目的,anterior,-3.6344352
185,LC.AN.VB,7,0,6,222,0,0,0,1,总结,水果,anterior,1.8221736666666661
186,LC.AN.VB,7,0,6,352,0,0,0,1,送往,饭,anterior,-6.595491
187,LC.AN.VB,7,0,6,670,0,0,0,1,发展,楼房,anterior,5.063379666666667
188,HC.UNEXP.CL,4,1,6,611,1,1,-1,1,一台,手术,anterior,0.6430533333333331
189,HC.AN.VB,6,0,6,606,0,1,0,1,讨论,希望,anterior,5.103093666666667
190,LC.AN.CL,2,1,6,727,0,0,0,1,一团,水,anterior,3.1785826666666672
191,HC.EXP.CL,3,1,6,228,2,1,0,1,一餐,饭,anterior,1.3170043333333332
192,HC.UNEXP.CL,4,1,6,530,1,1,-1,1,一类,问题,anterior,4.764573666666666
193,HC.EXP.CL,3,1,6,298,2,1,0,1,一架,飞机,anterior,9.110809333333334
194,HC.EXP.CL,3,1,6,602,2,1,0,1,一帮,人,anterior,2.7042620000000004
195,HC.UNEXP.VB,9,0,6,518,1,1,-1,1,触犯,原则,anterior,-2.4210450666666667
196,HC.AN.CL,1,1,6,111,0,1,0,1,一幢,电脑,anterior,-4.902620366666667
197,LC.AN.VB,7,0,6,742,0,0,0,1,实行,飞机,anterior,-4.102617033333334
198,LC.UNEXP.CL,5,1,6,300,1,0,-2,0,一大/JJ,水泥,anterior,-7.083236
199,HC.UNEXP.VB,9,0,6,284,1,1,-1,1,没收,珠宝,anterior,-5.4059246666666665
200,LC.AN.VB,7,0,6,684,0,0,0,1,举行,棋,anterior,1.5311336666666662
201,HC.AN.CL,1,1,6,395,0,1,0,1,一面,错误,anterior,3.1466236999999997
202,LC.AN.VB,7,0,6,221,0,0,0,0,出现,经历,anterior,2.511238566666667
203,HC.EXP.VB,8,0,6,277,2,1,0,1,弹劾,总统,anterior,13.98024
204,HC.AN.VB,6,0,6,527,0,1,0,1,确定,大海,anterior,-6.0109482000000005
205,LC.UNEXP.CL,5,1,6,661,1,0,-2,1,一大群,蚂蚁,anterior,14.231733
206,LC.AN.VB,7,0,6,79,0,0,0,1,遍布,牛,anterior,6.238589
207,HC.EXP.CL,3,1,6,398,2,1,0,1,一栋,楼,anterior,11.736768
208,LC.AN.CL,2,1,6,601,0,0,0,1,一平米,信号,anterior,17.150092333333333
209,LC.UNEXP.CL,5,1,6,605,1,0,-2,1,一大群,狗,anterior,-13.039355666666667
210,LC.UNEXP.CL,5,1,6,689,1,0,-2,1,一趟,飞机,anterior,14.868352999999999
211,HC.EXP.VB,8,0,6,68,2,1,0,1,出台,政策,anterior,1.3520484666666668
212,LC.UNEXP.CL,5,1,6,93,1,0,-2,0,一叶,窗,anterior,9.228532666666666
213,HC.EXP.CL,3,1,6,525,2,1,0,1,一代代,人,anterior,-2.4989699999999995
214,LC.UNEXP.VB,10,0,6,92,1,0,-2,1,保有,价值,anterior,6.343301266666668
215,LC.AN.CL,2,1,6,750,0,0,0,1,一堆,希望,anterior,-6.338262
216,HC.EXP.CL,3,1,6,690,2,1,0,1,一枝,花,anterior,-5.3760609666666666
217,HC.EXP.CL,3,1,6,296,2,1,0,1,一分,钱,anterior,13.967836
218,LC.AN.CL,2,1,6,526,0,0,0,1,一点儿,生日,anterior,14.233539333333333
219,HC.UNEXP.CL,4,1,6,332,1,1,-1,1,一架,马车,anterior,2.1655903333333333
220,HC.AN.CL,1,1,6,354,0,1,0,1,一轮,桌子,anterior,6.109574100000001
221,HC.UNEXP.CL,4,1,6,513,1,1,-1,1,一分,辛苦,anterior,-3.9015839999999997
222,LC.UNEXP.VB,10,0,6,335,1,0,-2,1,变为,动物,anterior,-3.2862880000000003
223,HC.UNEXP.VB,9,0,6,529,1,1,-1,1,犯下,死罪,mid_frontal,9.135754
224,LC.UNEXP.VB,10,0,6,744,1,0,-2,1,降低,分数,mid_frontal,3.6570086666666666
225,LC.AN.VB,7,0,6,62,0,0,0,1,会见,措施,mid_frontal,7.6830506666666665
226,HC.AN.CL,1,1,6,396,0,1,0,1,一套,春水,mid_frontal,0.027761533333333272
227,LC.UNEXP.VB,10,0,6,419,1,0,-2,0,整顿,思想,mid_frontal,-6.236194333333334
228,HC.UNEXP.CL,4,1,6,356,1,1,-1,1,一枚,戒指,mid_frontal,4.738261266666666
229,HC.AN.CL,1,1,6,225,0,1,0,1,一丛丛,歌曲,mid_frontal,0.6693104
230,LC.UNEXP.CL,5,1,6,412,1,0,-2,1,一场,培训,mid_frontal,-6.887391666666666
231,HC.UNEXP.CL,4,1,6,685,1,1,-1,1,一线,希望,mid_frontal,15.423610000000002
232,HC.AN.VB,6,0,6,722,0,1,0,1,参加,电脑,mid_frontal,-14.041023333333333
233,HC.UNEXP.CL,4,1,6,292,1,1,-1,1,一支,舞,mid_frontal,-9.521378333333333
234,HC.EXP.VB,8,0,6,417,2,1,0,1,承担,责任,mid_frontal,-5.1080033333333335
235,HC.UNEXP.VB,9,0,6,212,1,1,-1,1,判处,监禁,mid_frontal,0.0721783666666667
236,LC.AN.CL,2,1,6,403,0,0,0,1,一堆,水流,mid_frontal,-7.252420000000001
237,LC.UNEXP.VB,10,0,6,522,1,0,-2,1,接受,计划,mid_frontal,-3.138715
238,HC.AN.VB,6,0,6,234,0,1,0,1,扭转,错误,mid_frontal,7.232258666666667
239,LC.AN.VB,7,0,6,511,0,0,0,1,汲取,学校,mid_frontal,18.550786666666667
240,LC.UNEXP.CL,5,1,6,224,1,0,-2,1,一道,瀑布,mid_frontal,0.8312877333333333
241,LC.UNEXP.VB,10,0,6,297,1,0,-2,1,持有,黄金,mid_frontal,-2.979457333333334
242,HC.EXP.VB,8,0,6,231,2,1,0,1,环游,世界,mid_frontal,0.5145806666666667
243,HC.AN.CL,1,1,6,622,0,1,0,1,一届,车,mid_frontal,9.716921
244,HC.UNEXP.VB,9,0,6,81,1,1,-1,1,践踏,草坪,mid_frontal,-2.9262183333333334
245,HC.UNEXP.VB,9,0,6,393,1,1,-1,1,改善,健康,mid_frontal,-1.4961270000000002
246,HC.AN.VB,6,0,6,76,0,1,0,0,承包,沙子,mid_frontal,-6.505773033333333
247,LC.UNEXP.VB,10,0,6,629,1,0,-2,1,告诉,女孩,mid_frontal,7.837842333333334
248,HC.UNEXP.CL,4,1,6,227,1,1,-1,1,一栋,住宅,mid_frontal,3.7819946666666673
249,HC.AN.CL,1,1,6,537,0,1,0,1,一通,沙子,mid_frontal,-2.660425666666667
250,HC.EXP.VB,8,0,6,392,2,1,0,1,考上,大学,mid_frontal,17.61364
251,HC.EXP.VB,8,0,6,65,2,1,0,1,施加,压力,mid_frontal,2.6922846000000002
252,LC.UNEXP.CL,5,1,6,232,1,0,-2,1,一批,民工,mid_frontal,-1.1522750999999998
253,HC.AN.CL,1,1,6,738,0,1,0,1,一记,新闻,mid_frontal,5.168424
254,LC.AN.CL,2,1,6,618,0,0,0,1,一美元,掌声,mid_frontal,-10.307332333333333
255,LC.UNEXP.CL,5,1,6,516,1,0,-2,0,一班,孩子,mid_frontal,4.782343999999999
256,HC.EXP.VB,8,0,6,359,2,1,0,1,推卸,责任,mid_frontal,9.270239666666667
257,LC.AN.CL,2,1,6,64,0,0,0,1,一组,学问,mid_frontal,3.6381844
258,LC.UNEXP.VB,10,0,6,732,1,0,-2,1,保持,体重,mid_frontal,1.1071378666666665
259,HC.AN.VB,6,0,6,233,0,1,0,1,兴建,车,mid_frontal,6.025414333333333
260,LC.AN.CL,2,1,6,215,0,0,0,0,一根,运动,mid_frontal,10.479799333333332
261,HC.UNEXP.VB,9,0,6,626,1,1,-1,1,适应,变化,mid_frontal,-12.176567666666669
262,LC.AN.CL,2,1,6,226,0,0,0,1,一项,黄金,mid_frontal,-0.42256333333333335
263,LC.AN.VB,7,0,6,746,0,0,0,1,侵害,黄金,mid_frontal,4.293508
264,HC.UNEXP.CL,4,1,6,749,1,1,-1,1,一伙,小偷,mid_frontal,9.807845
265,HC.UNEXP.CL,4,1,6,281,1,1,-1,1,一头,羊,mid_frontal,7.461984999999999
266,LC.AN.VB,7,0,6,672,0,0,0,1,设立,猪,mid_frontal,4.371332
267,HC.AN.VB,6,0,6,289,0,1,0,1,健全,时间,mid_frontal,6.0406509999999995
268,HC.AN.VB,6,0,6,674,0,1,0,1,就任,墙,mid_frontal,7.973964666666667
269,HC.EXP.CL,3,1,6,340,2,1,0,1,一拨,人,mid_frontal,6.072965666666666
270,LC.UNEXP.CL,5,1,6,106,1,0,-2,1,一则,寻人启事,mid_frontal,-1.9040209000000001
271,HC.EXP.CL,3,1,6,613,2,1,0,0,一头,牛,mid_frontal,7.695534666666667
272,HC.EXP.VB,8,0,6,405,2,1,0,1,歪曲,事实,mid_frontal,20.41205666666667
273,HC.AN.CL,1,1,6,679,0,1,0,1,一群,账,mid_frontal,-1.7173886666666665
274,LC.AN.CL,2,1,6,517,0,0,0,1,一米,小说,mid_frontal,-6.403500666666667
275,HC.AN.CL,1,1,6,104,0,1,0,1,一尊,时间,mid_frontal,5.074837333333334
276,HC.UNEXP.VB,9,0,6,420,1,1,-1,1,从事,劳动,mid_frontal,9.030740333333332
277,LC.UNEXP.CL,5,1,6,668,1,0,-2,1,一批,产品,mid_frontal,23.303866666666668
278,HC.UNEXP.CL,4,1,6,680,1,1,-1,1,一阵阵,波浪,mid_frontal,9.067775
279,LC.UNEXP.CL,5,1,6,540,1,0,-2,1,一条,短信,mid_frontal,5.1261904
280,LC.AN.VB,7,0,6,681,0,0,0,1,压缩,电话,mid_frontal,3.8831251000000004
281,LC.UNEXP.VB,10,0,6,677,1,0,-2,1,罢免,法官,mid_frontal,-15.081202
282,HC.AN.VB,6,0,6,238,0,1,0,1,回顾,桌子,mid_frontal,-7.2711473333333325
283,LC.AN.CL,2,1,6,275,0,0,0,1,一份,墙,mid_frontal,4.235016333333333
284,HC.UNEXP.CL,4,1,6,688,1,1,-1,1,一拨,船夫,mid_frontal,5.393164
285,LC.UNEXP.VB,10,0,6,623,1,0,-2,1,严守,承诺,mid_frontal,14.805846666666667
286,HC.EXP.VB,8,0,6,515,2,1,0,1,吃,饭,mid_frontal,26.77826333333333
